"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"207","28513K","SK케미칼우",183000,-5500,-2.92,NA,NA,NA,NA,500,0.27
"208","017670","SK텔레콤",247500,-4500,-1.79,12144,20.38,284310,0.87,10000,4.04
"209","000660","SK하이닉스",141500,-7000,-4.71,2943,48.08,65836,2.15,1000,0.71
"210","048550","SM C&C",1670,-50,-2.91,40,41.75,1237,1.35,0,0
"211","063440","SM Life Design",2920,-20,-0.68,NA,NA,1084,2.69,0,0
"212","005610","SPC삼립",71200,-400,-0.56,2492,28.57,37411,1.9,1104,1.55
"213","011810","STX",5300,-220,-3.99,NA,NA,2864,1.85,0,0
"214","077970","STX엔진",6470,-220,-3.29,737,8.78,8586,0.75,0,0
"215","071970","STX중공업",3150,-110,-3.37,NA,NA,4813,0.65,0,0
"216","289080","SV인베스트먼트",4360,-70,-1.58,NA,NA,1006,4.33,30,0.69
"217","084870","TBH글로벌",1680,-10,-0.59,NA,NA,5163,0.33,0,0
"218","002710","TCC스틸",4650,-120,-2.52,225,20.67,4962,0.94,30,0.65
"219","089230","THE E&M",1075,-40,-3.59,NA,NA,574,1.87,0,0
"220","161570","THE MIDONG",1805,-75,-3.99,NA,NA,2085,0.87,0,0
"221","032540","TJ미디어",3900,-75,-1.89,64,60.94,5642,0.69,50,1.28
"222","048770","TPC",4155,-195,-4.48,NA,NA,2030,2.05,15,0.36
"223","246690","TS인베스트먼트",3710,-105,-2.75,201,18.46,1434,2.59,25,0.67
"224","317240","TS트릴리온",2270,0,0,NA,NA,NA,NA,0,0
"225","038340","UCI",867,19,2.24,NA,NA,1110,0.78,0,0
"226","073570","WI",1485,-15,-1,20,74.25,536,2.77,0,0
"227","024070","WISCOM",3485,-155,-4.26,70,49.79,7697,0.45,50,1.43
"228","052300","W홀딩컴퍼니",303,-5,-1.62,NA,NA,429,0.71,0,0
"229","057030","YBM넷",6630,-50,-0.75,110,60.27,2583,2.57,0,0
"230","037270","YG PLUS",6010,0,0,NA,NA,1562,3.85,0,0
"231","040300","YTN",4450,30,0.68,NA,NA,4410,1.01,10,0.22
"232","051390","YW",4100,-25,-0.61,218,18.81,6272,0.65,50,1.22
"233","052220","iMBC",5850,180,3.17,93,62.9,2270,2.58,0,0
"234","079940","가비아",14500,-500,-3.33,826,17.55,5410,2.68,40,0.28
"235","078890","가온미디어",12500,-500,-3.85,1204,10.38,10280,1.22,100,0.8
"236","000500","가온전선",20700,-500,-2.36,1391,14.88,61708,0.34,600,2.9
"237","192410","감마누",2490,-140,-5.32,711,3.5,17361,0.14,0,0
"238","000860","강남제비스코",22400,50,0.22,2250,9.96,81019,0.28,500,2.23
"239","217730","강스템바이오텍",6640,-230,-3.35,NA,NA,2936,2.26,0,0
"240","114190","강원",2500,0,0,NA,NA,1211,2.06,0,0
"241","035250","강원랜드",24200,-600,-2.42,1651,14.66,17377,1.39,900,3.72
"242","094480","갤럭시아머니트리",4490,-335,-6.94,233,19.27,2344,1.92,55,1.22
"243","011420","갤럭시아에스엠",1450,-30,-2.03,NA,NA,791,1.83,0,0
"244","063080","게임빌",35950,-1700,-4.52,2110,17.04,38098,0.94,0,0
"245","044480","경남바이오파마",2230,-90,-3.88,NA,NA,3458,0.64,0,0
"246","039240","경남스틸",2630,-35,-1.31,186,14.14,3487,0.75,90,3.42
"247","053950","경남제약",7460,-260,-3.37,NA,NA,3588,2.08,0,0
"248","223310","경남제약헬스케어",3320,0,0,NA,NA,4820,0.69,0,0
"249","002100","경농",13150,-150,-1.13,254,51.77,8484,1.55,220,1.67
"250","009450","경동나비엔",50600,-100,-0.2,2207,22.93,23612,2.14,300,0.59
"251","267290","경동도시가스",18400,-200,-1.08,4167,4.42,57537,0.32,875,4.76
"252","012320","경동인베스트",31700,150,0.48,4007,7.91,171962,0.18,500,1.58
"253","011040","경동제약",9570,-130,-1.34,850,11.26,8539,1.12,400,4.18
"254","000050","경방",12050,200,1.69,1630,7.39,27050,0.45,125,1.04
"255","214390","경보제약",12850,0,0,221,58.14,6239,2.06,100,0.78
"256","012610","경인양행",6870,-130,-1.86,344,19.97,5357,1.28,50,0.73
"257","009140","경인전자",30000,-1550,-4.91,182,164.84,34673,0.87,250,0.83
"258","024910","경창산업",2980,-65,-2.13,NA,NA,2134,1.4,0,0
"259","013580","계룡건설",28500,-350,-1.21,8363,3.41,50766,0.56,600,2.11
"260","012200","계양전기",4450,-160,-3.47,4,1112.5,5425,0.82,35,0.79
"261","012205","계양전기우",6990,-210,-2.92,NA,NA,NA,NA,40,0.57
"262","002140","고려산업",4030,-90,-2.18,182,22.14,3842,1.05,30,0.74
"263","198440","고려시멘트",3615,45,1.26,106,34.1,2766,1.31,15,0.41
"264","049720","고려신용정보",6040,-50,-0.82,476,12.69,1577,3.83,250,4.14
"265","010130","고려아연",403500,-12500,-3,35811,11.27,355878,1.13,14000,3.47
"266","002240","고려제강",16500,-950,-5.44,434,38.02,59916,0.28,350,2.12
"267","014570","고려제약",10000,-550,-5.21,357,28.01,5914,1.69,100,1
"268","348150","고바이오랩",35050,-1650,-4.5,NA,NA,NA,NA,0,0
"269","098460","고영",103400,500,0.49,2192,47.17,17763,5.82,550,0.53
"270","038530","골드퍼시픽",1375,-45,-3.17,NA,NA,629,2.19,0,0
"271","215000","골프존",62800,-1900,-2.94,2585,24.29,31877,1.97,2050,3.26
"272","121440","골프존뉴딘홀딩스",6010,0,0,NA,NA,10475,0.57,117,1.95
"273","009290","광동제약",8820,100,1.15,582,15.15,8069,1.09,80,0.91
"274","014200","광림",1635,-65,-3.82,NA,NA,1480,1.1,0,0
