"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"181","001570","금양","KOSPI","화학",4700,-185,-3.79,207026234500
"182","002990","금호산업","KOSPI","건설업",8740,-220,-2.46,320180495760
"183","002995","금호산업우","KOSPI","건설업",31000,-450,-1.43,9060246000
"184","011780","금호석유","KOSPI","화학",211000,-9500,-4.31,6428682801000
"185","011785","금호석유우","KOSPI","화학",81300,-4400,-5.13,245809411800
"186","214330","금호에이치티","KOSPI","운수장비",2225,-55,-2.41,278698295725
"187","001210","금호전기","KOSPI","전기전자",2610,-30,-1.14,31272550200
"188","073240","금호타이어","KOSPI","화학",3975,-50,-1.24,1141859640825
"189","092440","기신정기","KOSPI","기계",3835,-45,-1.16,1.11982e+11
"190","000270","기아차","KOSPI","운수장비",79400,2400,3.12,32185849751800
"191","024110","기업은행","KOSPI","은행",8330,-190,-2.23,6153074118800
"192","013700","까뮤이앤씨","KOSPI","건설업",3410,-50,-1.45,153969274800
"193","004540","깨끗한나라","KOSPI","종이목재",4050,-45,-1.1,150824806650
"194","004545","깨끗한나라우","KOSPI","종이목재",17750,-300,-1.66,6499340000
"195","001260","남광토건","KOSPI","건설업",13400,-600,-4.29,131707273400
"196","008350","남선알미늄","KOSPI","철강금속",4165,-35,-0.83,458895909850
"197","008355","남선알미우","KOSPI","철강금속",37000,-800,-2.12,11391930000
"198","004270","남성","KOSPI","유통업",3535,-180,-4.85,128009985600
"199","003920","남양유업","KOSPI","음식료품",295000,-5000,-1.67,2.124e+11
"200","003925","남양유업우","KOSPI","음식료품",179000,-1000,-0.56,29832498000
"201","025860","남해화학","KOSPI","화학",8550,-150,-1.72,424754107650
"202","005720","넥센","KOSPI","화학",4750,-10,-0.21,254333890750
"203","005725","넥센우","KOSPI","화학",2945,-5,-0.17,10603767000
"204","002350","넥센타이어","KOSPI","화학",8420,220,2.68,822363524340
"205","002355","넥센타이어1우B","KOSPI","화학",2920,-20,-0.68,1.898e+10
"206","003580","넥스트사이언스","KOSPI","광업",4015,35,0.88,132238758685
"207","251270","넷마블","KOSPI","서비스업",123500,-6500,-5,10606982626500
"208","090350","노루페인트","KOSPI","화학",9210,-280,-2.95,1.842e+11
"209","090355","노루페인트우","KOSPI","화학",12000,-300,-2.44,5557512000
"210","000320","노루홀딩스","KOSPI","기타금융",11600,-250,-2.11,154177351600
"211","000325","노루홀딩스우","KOSPI","기타금융",15600,-700,-4.29,2889900000
"212","006280","녹십자","KOSPI","의약품",378500,-8500,-2.2,4423354633000
"213","005250","녹십자홀딩스","KOSPI","서비스업",37100,100,0.27,1744746591000
"214","005257","녹십자홀딩스2우","KOSPI","서비스업",95400,-1900,-1.95,80707446000
"215","004370","농심","KOSPI","음식료품",275000,-6000,-2.14,1672726550000
"216","072710","농심홀딩스","KOSPI","기타금융",73700,-200,-0.27,341805123000
"217","058730","다스코","KOSPI","기계",4995,-105,-2.06,7.6923e+10
"218","023590","다우기술","KOSPI","서비스업",27200,200,0.74,1220371982400
"219","019680","대교","KOSPI","서비스업",3720,-20,-0.53,315094602000
"220","019685","대교우B","KOSPI","서비스업",2505,-25,-0.99,48664609950
"221","006370","대구백화점","KOSPI","유통업",9310,-100,-1.06,100749198410
"222","008060","대덕","KOSPI","기타금융",6700,-130,-1.9,227064005000
