Date,days_passed,price,vert_barrier,top_barrier,bottom_barrier,out
2000-07-26,140,0.7687299251556396,2000-08-10 00:00:00,0.8382621827928464,0.6991976675184329,-0.552097849123019
2000-07-27,141,0.7984809279441833,2000-08-11 00:00:00,0.8703086895716007,0.726653166316766,-1
2000-07-28,142,0.7418578863143921,2000-08-14 00:00:00,0.8126555039687897,0.6710602686599945,-0.27110923144712695
2000-07-31,143,0.7802466154098511,2000-08-15 00:00:00,0.8563383410653421,0.70415488975436,-0.8324345205736371
2000-08-01,144,0.7572134137153625,2000-08-16 00:00:00,0.8285835979095842,0.6858432295211409,-0.1748131153820798
2000-08-02,145,0.7255429625511169,2000-08-17 00:00:00,0.7926110381778325,0.6584748869244014,0.9587416030806033
2000-08-03,146,0.7370597124099731,2000-08-18 00:00:00,0.8027275641390763,0.67139186068087,0.46766624399587176
2000-08-04,147,0.7274623513221741,2000-08-21 00:00:00,0.7891944685296114,0.6657302341147368,1
2000-08-07,148,0.7361000180244446,2000-08-22 00:00:00,0.796067191673075,0.6761328443758141,0.9602336427282294
2000-08-08,149,0.7178650498390198,2000-08-23 00:00:00,0.7741667662388426,0.6615633334391969,1
2000-08-09,150,0.7293816208839417,2000-08-24 00:00:00,0.7846954928465478,0.6740677489213355,1
2000-08-10,151,0.7303413152694702,2000-08-25 00:00:00,0.7830852348942021,0.6775973956447383,1
2000-08-11,152,0.7322612404823303,2000-08-28 00:00:00,0.7826446403139088,0.6818778406507519,1
2000-08-14,153,0.7226639986038208,2000-08-29 00:00:00,0.7701535994962688,0.6751743977113728,1
2000-08-15,154,0.7169052362442017,2000-08-30 00:00:00,0.7617463756311381,0.6720640968572652,1
2000-08-16,155,0.7447369694709778,2000-08-31 00:00:00,0.7931309414653676,0.696342997476588,1
2000-08-17,156,0.7898439168930054,2000-09-01 00:00:00,0.846637816487138,0.7330500172988728,1
2000-08-18,157,0.7677703499794006,2000-09-05 00:00:00,0.8224972519015726,0.7130434480572286,1
2000-08-21,158,0.7754485011100769,2000-09-06 00:00:00,0.8281506911119139,0.72274631110824,1
2000-08-22,159,0.7936825156211853,2000-09-07 00:00:00,0.8459246418373212,0.7414403894050494,1
2000-08-23,160,0.8339904546737671,2000-09-08 00:00:00,0.8910665516762731,0.776914357671261,1
2000-08-24,161,0.8615822792053223,2000-09-11 00:00:00,0.9190134711681407,0.8041510872425038,1
2000-08-25,162,0.8723791837692261,2000-09-12 00:00:00,0.9276941511583651,0.8170642163800871,1
2000-08-28,163,0.8915729522705078,2000-09-13 00:00:00,0.9456328958052844,0.8375130087357312,1
