"","SPY","IEV","EWJ","EEM","TLT","IEF","IVR","RWX","GLD","DBC"
"145",110.303612,37.628613,46.771664,33.417274,58.194202,59.599796,NA,30.257433,65.790001,24.445728
"146",110.841011,37.608776,46.415127,33.286205,58.068214,59.434635,NA,29.9652,65.93,24.408392
"147",111.726646,37.747509,46.188232,33.654224,58.214859,59.4781,NA,30.113792,65.889999,24.445728
"148",108.850243,37.086845,45.539982,32.202293,58.601433,59.86203,NA,29.663071,66.690002,24.175043
"149",110.674484,37.516293,46.220638,32.777012,58.174858,59.622967,NA,29.692793,66.519997,23.839022
"150",111.855309,37.612083,46.123413,33.021526,58.128223,59.615742,NA,30.163315,66.480003,23.969696
"151",113.414711,38.398289,46.512363,34.13065,57.421783,59.202854,NA,31.005314,66.769997,23.93236
"152",110.053818,37.047215,45.766865,32.719051,57.501759,59.536053,NA,30.415909,65.459999,23.74568
"153",109.539055,36.521976,45.11861,32.151882,57.368507,59.449146,NA,30.188084,66.57,23.829685
"154",109.93264,36.515358,45.18343,32.469486,57.535053,59.543282,NA,30.049393,66.260002,23.661673
"155",108.252213,36.1553,45.053783,31.630091,57.688328,59.760567,NA,29.405516,66.290001,23.736343
"156",106.761032,35.270004,44.308289,30.38736,57.481739,59.869244,NA,28.533804,66.129997,23.913692
"157",107.563416,35.167603,44.405525,29.870625,58.074913,60.101055,NA,27.909731,64.68,23.502995
"158",109.539055,35.824959,44.081402,30.815887,57.841625,60.144485,NA,28.513998,65.010002,23.484327
"159",109.486061,35.775417,43.595207,30.878916,57.874973,60.274963,NA,28.528856,65.120003,23.549664
"160",109.705582,35.676308,44.146225,30.765482,58.154873,60.535713,NA,28.845835,65.07,23.512331
"161",111.007553,36.558311,44.729668,32.088863,58.061569,60.34013,NA,29.762131,65.400002,23.568333
"162",110.909157,36.52858,45.053783,32.252705,58.261513,60.361851,NA,30.039497,65.309998,23.643003
"163",112.279228,37.314774,45.28067,33.021526,58.548134,60.383583,NA,30.609083,66.110001,23.923023
"164",111.234634,36.981144,44.924137,33.172768,58.854633,60.550186,NA,30.386189,65.980003,23.951025
"165",108.789642,36.089233,44.502769,31.824181,58.954613,60.861649,NA,29.712606,65.589996,23.699009
"166",110.924278,37.02409,44.924137,33.084545,58.794697,60.629818,NA,30.361441,66.07,23.923023
"167",110.629082,36.815971,44.632416,32.915672,59.187897,60.934082,NA,30.089027,65.800003,23.969696
"168",111.719093,37.446911,45.604805,33.765141,59.234501,60.948566,NA,30.510036,66.519997,23.979029
"169",112.846924,37.80698,45.345505,34.334827,59.262623,60.835106,NA,30.995417,67.440002,24.249716
"170",111.870461,37.278442,44.470356,33.815556,59.737747,61.213276,NA,30.346584,67.559998,24.296387
"171",112.127861,37.361031,44.502769,34.080235,59.58382,61.082367,NA,30.188084,68.860001,24.203047
"172",110.568527,36.928288,44.275875,33.311405,60.426998,61.736919,NA,29.692793,69.389999,24.361723
"173",110.35659,36.713566,43.886921,33.336613,60.895447,61.87513,NA,29.26189,69.620003,24.529734
"174",111.643356,37.437012,44.340717,34.009636,60.848598,61.744205,NA,29.81661,70.519997,24.585739
"175",111.931061,37.559231,44.211044,34.13065,60.621098,61.591473,NA,30.118738,70.459999,24.84709
"176",112.718246,37.770638,43.886921,34.508751,60.079029,61.227859,NA,30.410961,70.080002,24.66041
"177",112.710693,37.394058,44.016579,34.576809,60.166016,61.307854,NA,30.193035,69.989998,24.679079
"178",112.105125,36.76643,43.789684,34.357513,60.453781,61.344223,NA,29.445143,70.970001,24.968431
"179",115.405464,38.312405,44.243473,36.021202,59.998722,61.27882,NA,30.262369,71.699997,25.061769
"180",116.086708,38.44783,44.729668,36.185036,59.443295,61.060551,NA,30.846825,71.43,25.276453
"181",115.269234,38.533718,44.5676,36.071602,58.319077,60.369686,NA,30.584314,72.720001,25.668482
"182",115.580292,38.781475,44.664829,36.550541,58.814266,60.675125,NA,30.986706,72.339996,25.845827
"183",115.367325,38.715416,44.826904,37.00428,58.981567,60.755173,NA,30.941721,72.279999,25.799156
"184",115.139183,38.56345,45.086193,36.865643,58.774158,60.762402,NA,31.011703,72.330002,25.612478
"185",115.747627,38.731926,45.475151,37.357178,58.827671,60.784214,NA,31.536568,72,25.649813
"186",116.432083,39.194397,46.512363,37.911732,59.235874,60.980598,NA,31.891478,72.699997,26.321861
"187",116.044205,39.376076,46.47995,37.672268,59.369717,61.002373,NA,32.116405,73.510002,26.237856
"188",117.352318,39.77248,46.998547,38.85701,59.708935,61.075436,NA,32.276371,73.900002,25.967167
"189",117.192665,39.653561,46.8689,39.121689,59.897087,61.206749,NA,32.191387,72.349998,25.444466
"190",116.956863,39.508213,46.901314,37.936935,59.722427,61.162971,NA,32.241371,71.900002,25.472467
"191",117.139427,39.716328,46.8689,38.315052,59.950798,61.272446,NA,32.091412,72.870003,25.827158
"192",118.531212,40.016926,47.484745,39.593048,59.305878,60.732258,NA,32.391335,73.400002,25.901833
"193",117.899925,39.557766,47.225441,39.172104,59.25885,60.951298,NA,32.091412,72.529999,25.36046
"194",119.01033,40.053268,47.095783,39.782112,59.184975,60.761497,NA,32.641262,73.089996,25.537806
"195",118.812614,40.069786,46.998547,39.835045,59.218533,60.819931,NA,32.596294,73.360001,25.836493
"196",118.242165,40.234955,47.063381,39.484676,59.15807,60.827225,NA,32.466316,73.910004,26.125847
"197",118.896286,40.482712,47.063381,40.205597,58.869225,60.622868,NA,32.491314,74.589996,26.247192
"198",117.892311,40.129242,46.512363,39.714062,58.882656,60.68124,NA,32.216381,75.139999,26.695223
"199",116.956863,39.673378,45.669636,38.977997,58.902828,60.84914,NA,31.516567,75.120003,26.723223
"200",117.314323,40.15897,45.734455,39.877895,59.547771,61.221367,NA,31.666534,74.5,26.583212
"201",116.888451,40.13916,45.928936,40.079571,59.876892,61.454952,NA,31.491583,76,27.059246
"202",113.831024,39.343048,45.021381,38.365467,60.770405,61.980579,NA,30.6318,75.699997,26.984575
"203",114.492714,39.14484,45.28067,38.642742,60.777111,61.863773,NA,30.616802,74.599998,26.909904
"204",115.42057,39.755962,45.41032,39.714062,60.696541,61.849167,NA,31.166656,75.230003,26.723223
"205",115.207588,39.706413,45.215851,39.45443,61.146599,62.163017,NA,31.161661,75.519997,26.816563
"206",115.48143,39.937656,45.053783,39.956047,60.938335,62.11195,NA,31.571552,76.029999,27.441938
"207",116.835152,40.611534,45.831692,41.087852,60.797256,61.958664,NA,32.161392,77.690002,27.861973
"208",117.223099,40.862591,46.447529,42.033134,61.032406,62.009716,NA,32.266373,78.120003,28.319334
"209",116.409271,40.565281,46.220638,41.239105,60.998825,62.075447,NA,32.161392,77.349998,27.684624
"210",117.618523,41.159893,46.544769,42.144047,60.447929,61.659374,NA,32.866211,78.620003,28.468681
"211",114.865356,40.152378,45.961346,40.442543,61.233349,62.162617,NA,31.986444,77.93,28.104654
"212",114.994659,40.482712,45.831692,40.67194,61.429001,62.3311,NA,31.736506,79.830002,28.711365
"213",114.120064,39.937656,45.053783,39.257801,61.402061,62.257843,NA,31.116673,79.75,28.524683
"214",115.656342,40.499226,45.572399,40.747555,61.105106,62.147972,NA,31.391602,81.43,29.271402
"215",112.492447,39.848465,44.729668,39.449379,61.213074,62.375042,NA,30.776764,82.239998,29.122059
"216",111.92205,40.20192,44.016579,39.651039,61.105106,62.514187,NA,30.666796,82.230003,29.04739
"217",110.385757,39.276981,43.43314,38.718369,61.624699,62.887829,NA,30.041965,82.18,29.038054
"218",109.290573,38.649342,43.465561,36.575752,61.847347,62.997681,NA,29.267174,78.300003,28.403341
"219",112.621758,39.755962,44.211044,39.159489,61.617943,62.675434,NA,30.441858,79.120003,27.861973
"220",112.309929,39.64035,44.340717,39.1973,61.685406,62.719368,NA,30.116941,80.279999,28.487347
"221",110.689949,38.979675,43.951756,38.294899,62.265682,63.070946,NA,29.567102,77.949997,28.207327
"222",110.880119,39.14484,43.627613,38.76878,62.35339,63.070946,NA,29.442129,77.75,28.300667
"223",109.336189,38.087772,42.88213,36.981594,62.758259,63.52512,NA,28.61735,77.239998,28.51535
"224",110.005478,38.936729,44.016579,37.997456,62.690807,63.356598,NA,29.062229,79.470001,29.224733
"225",107.754265,38.216602,43.238674,36.084206,63.055183,63.854736,NA,28.41239,79.360001,29.262072
"226",109.617599,39.039131,44.211044,37.150482,63.244102,63.664326,NA,29.442129,81.25,29.532753
"227",107.199066,38.26944,44.211044,35.67585,64.492348,64.536026,NA,28.587345,81.300003,29.16873
"228",108.431129,38.748436,44.924137,37.04208,63.878304,63.935375,NA,29.46711,80.099998,28.935379
"229",111.899261,40.003716,45.345505,39.071281,63.446526,63.708248,NA,29.921982,79.57,28.580687
"230",111.937271,39.64035,45.507576,38.592323,63.993095,64.067162,NA,29.961975,78.279999,28.646029
"231",113.062866,39.789001,45.604805,38.920025,63.682671,64.155083,NA,30.141939,77.32,28.291332
"232",112.317474,39.646961,45.669636,38.582256,64.188057,64.408653,NA,30.251904,78.279999,28.496683
"233",111.313576,39.409115,45.18343,38.481419,64.181282,64.467453,NA,29.847021,79.400002,28.627357
"234",113.176941,39.729527,46.026169,40.190475,63.415802,64.224884,NA,30.496841,78.629997,28.412676
"235",114.796875,40.152378,46.6096,40.823177,62.860302,63.886826,NA,30.91173,79.370003,28.926044
"236",114.774078,40.049961,46.188232,40.339199,62.155712,63.475239,NA,30.991703,78.599998,28.832705
"237",115.66391,40.499226,46.317886,40.351807,61.783127,63.328209,NA,31.116673,80,28.814037
"238",112.492447,39.412407,45.313084,38.642742,62.995739,64.19548,NA,30.416857,78.839996,29.066053
"239",113.602882,40.334053,45.669636,39.80228,62.345406,63.658928,NA,30.416857,80.489998,29.859444
"240",113.367104,39.537949,44.729668,38.70829,61.667915,63.188519,NA,29.917004,78.5,29.542089
"241",111.929649,38.540333,42.979366,37.785698,61.383442,63.004818,NA,28.892277,78.519997,29.33674
"242",110.332489,37.869747,42.233871,36.174946,61.932137,63.379688,NA,27.442652,78.129997,29.19326
"243",110.948563,38.285973,42.979366,37.168118,62.331841,63.504593,NA,27.517632,79.25,29.068913
"244",110.948563,37.896179,42.687653,37.410118,63.158367,64.011719,NA,27.792576,79.239998,29.346306
"245",111.648285,38.04483,42.84972,37.614285,63.022789,63.908855,NA,27.617611,78.669998,29.221956
"246",113.257706,38.599789,43.497974,38.748615,62.101524,63.445824,NA,27.977535,80.099998,29.566307
"247",114.09877,38.862175,43.42593,39.40398,61.810211,63.262054,NA,28.506849,80.139999,29.786308
"248",114.343437,39.076019,43.622433,39.608231,61.268276,62.96069,NA,28.935329,81.519997,30.140224
"249",112.905998,38.967396,42.934681,38.694237,61.936172,63.383419,NA,28.229597,81.559998,30.245445
"250",112.623085,39.293259,43.42593,38.83976,62.902008,63.892448,NA,28.673206,83,30.149792
"251",111.789719,38.811253,43.524178,38.372551,63.282932,64.187538,NA,28.708485,82.459999,30.188051
"252",110.811035,38.706028,43.327671,37.73938,64.194389,64.64489,NA,28.582457,84.860001,31.020233
"253",110.757507,38.773914,43.491417,38.078949,64.105911,64.777649,NA,28.476603,85.57,31.259363
"254",108.043213,37.864235,42.37793,36.935181,64.119499,64.947357,NA,27.851521,85.129997,31.077625
"255",107.951515,38.054321,42.11594,37.205795,64.398369,65.065369,NA,27.397823,84.769997,30.513269
"256",106.208267,37.708084,42.0177,36.917305,64.323547,65.205566,NA,26.792902,86.779999,30.790663
"257",107.324532,37.864235,42.934681,38.127464,64.445999,65.102257,NA,26.944136,86.550003,30.484575
"258",108.027931,37.894783,42.574436,38.576805,63.575382,64.925163,NA,26.994545,88.25,30.341095
"259",107.156311,37.236263,41.853947,37.491745,64.071968,65.338333,NA,26.314014,88.580002,30.618486
"260",108.020279,37.854046,42.37793,38.043201,64.31002,65.367828,NA,26.717289,89.540001,31.001101
"261",105.642448,36.669407,41.198952,36.322437,65.03096,65.795692,NA,25.890572,87.989998,30.618486
"262",104.732613,35.875134,40.445721,34.811035,64.561646,65.670341,NA,25.961136,86.699997,30.331532
"263",102.018288,35.362572,39.888969,33.797462,65.398239,66.201408,NA,25.678843,86.5,29.939352
"264",100.97084,35.399918,40.936954,34.568497,64.949341,66.105614,NA,25.860313,87.419998,30.054136
"265",99.946327,34.293354,39.430477,33.700443,65.643082,66.843246,NA,25.386463,88.169998,29.948919
"266",102.347092,34.069321,39.561474,33.914898,65.493469,66.533424,NA,25.709087,87.889999,29.384567
"267",103.21109,35.084236,40.216461,34.573586,64.180695,65.928452,NA,26.440033,90.080002,30.111528
"268",101.720131,34.378201,40.838707,34.047661,65.262215,66.540749,NA,27.196196,90.300003,30.781099
"269",103.40226,34.917912,40.60947,34.890167,65.017311,66.297325,NA,27.145773,91.75,30.924582
"270",103.914467,35.186062,41.297203,34.719116,64.575264,66.031754,NA,27.196196,91.150002,31.18284
"271",103.149925,35.063869,41.100704,34.262119,64.153526,66.002258,NA,26.767691,92.059998,30.915014
"272",105.030777,35.396515,41.65744,34.948898,64.609283,66.341568,NA,27.22139,91.400002,31.06806
"273",106.720512,35.885307,42.0177,35.645878,64.997612,66.556885,NA,27.775896,89.349998,30.522837
